DrawScene total: 14ms | BG: 0ms | Map: 13ms | Light: 0ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 14ms | BG: 0ms | Map: 13ms | Light: 0ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 11ms | BG: 0ms | Map: 11ms | Light: 0ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 10ms | BG: 0ms | Map: 10ms | Light: 0ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 19ms | BG: 0ms | Map: 18ms | Light: 0ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 11ms | BG: 0ms | Map: 11ms | Light: 0ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 7ms | BG: 0ms | Map: 6ms | Light: 0ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 6ms | BG: 0ms | Map: 6ms | Light: 0ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 6ms | BG: 0ms | Map: 6ms | Light: 0ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 6ms | BG: 0ms | Map: 5ms | Light: 0ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 34ms | BG: 0ms | Map: 34ms | Light: 0ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 8ms | BG: 0ms | Map: 7ms | Light: 0ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 6ms | BG: 0ms | Map: 6ms | Light: 0ms | Drag: 0ms | HighFl: 0ms
